6.00010000e+04,1.44062007e+01,1.11602993e+01,3.24590143e+00
6.00110000e+04,5.47553395e+01,5.18386311e+01,2.91670841e+00
6.00210000e+04,1.47227026e+01,1.17716264e+01,2.95107615e+00
6.00310000e+04,1.04768855e+01,7.64189795e+00,2.83498753e+00
6.00410000e+04,5.24241239e+00,2.56262238e+00,2.67979001e+00
6.00510000e+04,4.12654121e+00,1.52698797e+00,2.59955324e+00
6.00610000e+04,3.49182580e+00,9.55385864e-01,2.53643994e+00
6.00710000e+04,3.25407893e+00,7.96183840e-01,2.45789509e+00
6.00810000e+04,3.08328045e+00,7.00034150e-01,2.38324630e+00
6.00910000e+04,2.98736136e+00,6.65670935e-01,2.32169043e+00
6.01010000e+04,2.90114494e+00,6.33767642e-01,2.26737730e+00
6.01110000e+04,2.83100876e+00,6.15237725e-01,2.21577104e+00
6.01210000e+04,2.76853273e+00,5.99921398e-01,2.16861133e+00
6.01310000e+04,2.71267876e+00,5.86112030e-01,2.12656673e+00
6.01410000e+04,2.66242332e+00,5.74210611e-01,2.08821271e+00
6.01510000e+04,2.61688644e+00,5.63938830e-01,2.05294761e+00
6.01610000e+04,2.57557744e+00,5.54664498e-01,2.02091295e+00
6.01710000e+04,2.53799697e+00,5.46317769e-01,1.99167921e+00
6.01810000e+04,2.50373921e+00,5.38863060e-01,1.96487615e+00
6.01910000e+04,2.47245810e+00,5.32091540e-01,1.94036656e+00
6.02010000e+04,2.44384951e+00,5.25955629e-01,1.91789388e+00
6.02110000e+04,2.41764416e+00,5.20381167e-01,1.89726299e+00
6.02210000e+04,2.39360719e+00,5.15289921e-01,1.87831727e+00
6.02310000e+04,2.37153102e+00,5.10641281e-01,1.86088974e+00
6.02410000e+04,2.35122882e+00,5.06378686e-01,1.84485014e+00
6.02510000e+04,2.33254077e+00,5.02469235e-01,1.83007153e+00
6.02610000e+04,2.31531811e+00,4.98873976e-01,1.81644413e+00
6.02710000e+04,2.29943045e+00,4.95562483e-01,1.80386796e+00
6.02810000e+04,2.28476118e+00,4.92508607e-01,1.79225257e+00
6.02910000e+04,2.27120711e+00,4.89690244e-01,1.78151687e+00
6.03010000e+04,2.25867352e+00,4.87085889e-01,1.77158763e+00
6.03020000e+04,1.06440525e+01,1.03088379e+01,3.35214584e-01
6.03120000e+04,5.59999061e+01,5.56563557e+01,3.43550447e-01
6.03220000e+04,1.09636955e+01,1.06967096e+01,2.66985894e-01
6.03320000e+04,7.94325457e+00,7.67949023e+00,2.63764334e-01
6.03420000e+04,2.11156462e+00,1.86998912e+00,2.41575501e-01
6.03520000e+04,1.39202876e+00,1.17483895e+00,2.17189808e-01
6.03620000e+04,6.51701664e-01,4.48903333e-01,2.02798331e-01
6.03720000e+04,5.70576139e-01,3.82165978e-01,1.88410161e-01
6.03820000e+04,4.65541120e-01,2.90984543e-01,1.74556577e-01
6.03920000e+04,4.40029585e-01,2.76403556e-01,1.63626030e-01
6.04020000e+04,4.15243825e-01,2.61528948e-01,1.53714877e-01
6.04120000e+04,3.99870537e-01,2.55295310e-01,1.44575227e-01
6.04220000e+04,3.86862292e-01,2.50089781e-01,1.36772511e-01
6.04320000e+04,3.76027929e-01,2.46232737e-01,1.29795191e-01
6.04420000e+04,3.66469188e-01,2.42988053e-01,1.23481135e-01
6.04520000e+04,3.57961607e-01,2.40061784e-01,1.17899823e-01
6.04620000e+04,3.50355684e-01,2.37472509e-01,1.12883175e-01
6.04720000e+04,3.43507168e-01,2.35137899e-01,1.08369270e-01
6.04820000e+04,3.37324503e-01,2.33008491e-01,1.04316011e-01
6.04920000e+04,3.31727470e-01,2.31075791e-01,1.00651679e-01
6.05020000e+04,3.26647716e-01,2.29306705e-01,9.73410110e-02
6.05120000e+04,3.22025898e-01,2.27686467e-01,9.43394308e-02
6.05220000e+04,3.17812794e-01,2.26197837e-01,9.16149566e-02
6.05320000e+04,3.13965780e-01,2.24829370e-01,8.91364107e-02
