0.00000000e+00,9.94130838e+00,2.63882349e-07,3.58648266e+00,6.35482546e+00
1.00000000e+01,9.93193048e+00,3.11358343e-07,3.58298806e+00,6.34894211e+00
2.00000000e+01,9.92245264e+00,3.82941024e-07,3.57945856e+00,6.34299370e+00
3.00000000e+01,9.91269599e+00,4.76314925e-07,3.57582372e+00,6.33687179e+00
4.00000000e+01,9.90249503e+00,5.88434424e-07,3.57201581e+00,6.33047863e+00
5.00000000e+01,9.89169461e+00,7.21416453e-07,3.56797004e+00,6.32372385e+00
6.00000000e+01,9.88013942e+00,8.92659789e-07,3.56362058e+00,6.31651795e+00
7.00000000e+01,9.86766267e+00,1.15365252e-06,3.55889620e+00,6.30876532e+00
8.00000000e+01,9.85407530e+00,1.62420354e-06,3.55371494e+00,6.30035874e+00
9.00000000e+01,9.83915402e+00,2.55357482e-06,3.54798011e+00,6.29117136e+00
1.00000000e+02,9.82263259e+00,4.42672915e-06,3.54157516e+00,6.28105299e+00
1.10000000e+02,9.80418803e+00,8.14452606e-06,3.53435776e+00,6.26982213e+00
1.20000000e+02,9.78342805e+00,1.53236885e-05,3.52615429e+00,6.25725844e+00
1.30000000e+02,9.75987438e+00,2.87882358e-05,3.51675164e+00,6.24309396e+00
1.40000000e+02,9.73294454e+00,5.33648481e-05,3.50588881e+00,6.22700236e+00
1.50000000e+02,9.70193068e+00,9.71581386e-05,3.49324670e+00,6.20858682e+00
1.60000000e+02,9.66597362e+00,1.73579312e-04,3.47843626e+00,6.18736378e+00
1.70000000e+02,9.62403642e+00,3.04550662e-04,3.46098487e+00,6.16274700e+00
1.80000000e+02,9.57487417e+00,5.25536151e-04,3.44032180e+00,6.13402684e+00
1.90000000e+02,9.51700339e+00,8.93391051e-04,3.41576236e+00,6.10034764e+00
2.00000000e+02,9.44867614e+00,1.49853670e-03,3.38649302e+00,6.06068459e+00
2.10000000e+02,9.36786405e+00,2.48370999e-03,3.35156034e+00,6.01382000e+00
2.20000000e+02,9.27226226e+00,4.07264796e-03,3.30986631e+00,5.95832330e+00
2.30000000e+02,9.15932936e+00,6.61372738e-03,3.26017777e+00,5.89253787e+00
2.40000000e+02,9.02638808e+00,1.06460107e-02,3.20115764e+00,5.81458443e+00
2.50000000e+02,8.87082422e+00,1.69984238e-02,3.13143343e+00,5.72239237e+00
2.60000000e+02,8.69044067e+00,2.69381623e-02,3.04972195e+00,5.61378056e+00
2.70000000e+02,8.48405214e+00,4.23912156e-02,2.95503991e+00,5.48662101e+00
2.80000000e+02,8.25242569e+00,6.62544116e-02,2.84703545e+00,5.33913583e+00
2.90000000e+02,7.99967500e+00,1.02777852e-01,2.72648227e+00,5.17041488e+00
3.00000000e+02,7.73507349e+00,1.57839910e-01,2.59596195e+00,4.98127162e+00
3.10000000e+02,7.47471229e+00,2.38429640e-01,2.46068357e+00,4.77559909e+00
3.20000000e+02,7.24098641e+00,3.49569366e-01,2.32914963e+00,4.56226741e+00
3.30000000e+02,7.05587486e+00,4.86286278e-01,2.21279598e+00,4.35679259e+00
