6.00010000e+04,6.96102332e+00,6.94915703e+00,1.18662947e-02
6.00110000e+04,1.63650666e+03,1.63390441e+03,2.60224757e+00
6.00210000e+04,2.29026492e+02,2.26997465e+02,2.02902651e+00
6.00310000e+04,2.46501141e+02,2.44807594e+02,1.69354700e+00
6.00410000e+04,6.38030481e+01,6.18573772e+01,1.94567084e+00
6.00510000e+04,5.30308762e+01,5.12191360e+01,1.81174026e+00
6.00610000e+04,2.14578869e+01,1.99909982e+01,1.46688869e+00
6.00710000e+04,1.59768141e+01,1.47263822e+01,1.25043190e+00
6.00810000e+04,1.03203068e+01,9.19407346e+00,1.12623332e+00
6.00910000e+04,7.99834455e+00,6.99033209e+00,1.00801246e+00
6.01010000e+04,6.31863309e+00,5.42605146e+00,8.92581629e-01
6.01110000e+04,5.15803505e+00,4.36157527e+00,7.96459776e-01
6.01210000e+04,4.30102780e+00,3.58104969e+00,7.19978115e-01
6.01310000e+04,3.64469859e+00,2.98874160e+00,6.55956989e-01
6.01410000e+04,3.13818885e+00,2.53905164e+00,5.99137211e-01
6.01510000e+04,2.73924314e+00,2.19000504e+00,5.49238099e-01
6.01610000e+04,2.42126471e+00,1.91452730e+00,5.06737408e-01
6.01710000e+04,2.16458940e+00,1.69478402e+00,4.69805379e-01
6.01810000e+04,1.95498367e+00,1.51774975e+00,4.37233920e-01
6.01910000e+04,1.78201129e+00,1.37325613e+00,4.08755162e-01
6.02010000e+04,1.63784287e+00,1.25411701e+00,3.83725857e-01
6.02110000e+04,1.51657864e+00,1.15500986e+00,3.61568781e-01
6.02210000e+04,1.41372159e+00,1.07176014e+00,3.41961451e-01
6.02310000e+04,1.32579876e+00,1.00126792e+00,3.24530834e-01
6.02410000e+04,1.25010953e+00,9.41118189e-01,3.08991339e-01
6.02510000e+04,1.18452820e+00,8.89423528e-01,2.95104670e-01
6.02610000e+04,1.12736669e+00,8.44711093e-01,2.82655596e-01
6.02710000e+04,1.07727304e+00,8.05802344e-01,2.71470699e-01
