0.00000000e+00,5.62854737e-02,5.50020137e-03,6.12606034e-03,5.67972986e-03,4.91418678e-02
1.00000000e-02,5.10413647e-02,5.24150957e-03,5.86740980e-03,5.42256371e-03,4.85216226e-02
2.00000000e-02,4.65155795e-02,5.03036673e-03,5.65375481e-03,5.21568349e-03,4.80129056e-02
3.00000000e-02,4.26131260e-02,4.86353824e-03,5.48035470e-03,5.05481858e-03,4.76063896e-02
4.00000000e-02,3.92452624e-02,4.73730876e-03,5.34233015e-03,4.93526277e-03,4.72930290e-02
5.00000000e-02,3.63236070e-02,4.64756964e-03,5.23480058e-03,4.85199664e-03,4.70642246e-02
6.00000000e-02,3.37771416e-02,4.58996370e-03,5.15302264e-03,4.79984432e-03,4.69118740e-02
7.00000000e-02,3.15496596e-02,4.56007831e-03,5.09263251e-03,4.77375260e-03,4.68284838e-02
8.00000000e-02,2.95925315e-02,4.55358105e-03,5.04966539e-03,4.76891741e-03,4.68071986e-02
9.00000000e-02,2.78590508e-02,4.56638834e-03,5.02072179e-03,4.78102765e-03,4.68418047e-02
1.00000000e-01,2.63151212e-02,4.59476889e-03,5.00291151e-03,4.80629988e-03,4.69267610e-02
1.10000000e-01,2.49307765e-02,4.63540088e-03,4.99383009e-03,4.84151656e-03,4.70571499e-02
1.20000000e-01,2.36784585e-02,4.68547521e-03,4.99165377e-03,4.88410201e-03,4.72286362e-02
1.30000000e-01,2.25368174e-02,4.74259364e-03,4.99485757e-03,4.93191362e-03,4.74374797e-02
1.40000000e-01,2.14881975e-02,4.80481300e-03,5.00232207e-03,4.98330032e-03,4.76804048e-02
1.50000000e-01,2.05181297e-02,4.87059176e-03,5.01327273e-03,5.03702639e-03,4.79546338e-02
1.60000000e-01,1.96163032e-02,4.93869535e-03,5.02709588e-03,5.09210830e-03,4.82577592e-02
1.70000000e-01,1.87760310e-02,5.00819746e-03,5.04341940e-03,5.14786027e-03,4.85877838e-02
1.80000000e-01,1.79880068e-02,5.07839296e-03,5.06203901e-03,5.20380805e-03,4.89429932e-02
1.90000000e-01,1.72470680e-02,5.14877480e-03,5.08284592e-03,5.25962850e-03,4.93219122e-02
2.00000000e-01,1.65473637e-02,5.21897753e-03,5.10581485e-03,5.31511207e-03,4.97233652e-02
2.10000000e-01,1.58856064e-02,5.28876339e-03,5.13101174e-03,5.37016480e-03,5.01462955e-02
2.20000000e-01,1.52599695e-02,5.35798511e-03,5.15851215e-03,5.42475739e-03,5.05898822e-02
2.30000000e-01,1.46677480e-02,5.42656747e-03,5.18842917e-03,5.47889688e-03,5.10533791e-02
2.40000000e-01,1.41076004e-02,5.49448710e-03,5.22088385e-03,5.53264150e-03,5.15361849e-02
2.50000000e-01,1.35784694e-02,5.56175355e-03,5.25598098e-03,5.58605737e-03,5.20377908e-02
2.60000000e-01,1.30778302e-02,5.62841697e-03,5.29381195e-03,5.63922955e-03,5.25577467e-02
2.70000000e-01,1.26041921e-02,5.69454809e-03,5.33443731e-03,5.69224658e-03,5.30956913e-02
2.80000000e-01,1.21563827e-02,5.76019641e-03,5.37788877e-03,5.74518549e-03,5.36512744e-02
2.90000000e-01,1.17337489e-02,5.82546778e-03,5.42416880e-03,5.79813495e-03,5.42242322e-02
3.00000000e-01,1.13340594e-02,5.89041668e-03,5.47322668e-03,5.85115161e-03,5.48143070e-02
3.10000000e-01,1.09562295e-02,5.95516516e-03,5.52501827e-03,5.90432449e-03,5.54212626e-02
3.20000000e-01,1.05990446e-02,6.01973175e-03,5.57941473e-03,5.95766183e-03,5.60449101e-02
3.30000000e-01,1.02612645e-02,6.08422928e-03,5.63631477e-03,6.01123574e-03,5.66850759e-02
3.40000000e-01,9.94125539e-03,6.14866628e-03,5.69554083e-03,6.06503312e-03,5.73415913e-02
3.50000000e-01,9.63826990e-03,6.21314561e-03,5.75696961e-03,6.11910161e-03,5.80142956e-02
3.60000000e-01,9.35101258e-03,6.27766810e-03,5.82039640e-03,6.17341483e-03,5.87030783e-02
3.70000000e-01,9.07883197e-03,6.34232135e-03,5.88568323e-03,6.22800591e-03,5.94078165e-02
3.80000000e-01,8.82080193e-03,6.40710862e-03,5.95263853e-03,6.28284102e-03,6.01283986e-02
3.90000000e-01,8.57598823e-03,6.47203377e-03,6.02107365e-03,6.33788498e-03,6.08647443e-02
4.00000000e-01,8.34372472e-03,6.53709983e-03,6.09080307e-03,6.39310135e-03,6.16167627e-02
4.10000000e-01,8.12340812e-03,6.60233023e-03,6.16167989e-03,6.44847197e-03,6.23844020e-02
