0.00000000e+00,1.04732432e+01,2.08172570e-01,3.75915874e+00,6.50591192e+00
1.00000000e+01,3.74764803e+00,8.77838038e-01,1.27652663e+00,1.59328337e+00
2.00000000e+01,2.86874157e+00,6.39753295e-01,8.49839950e-01,1.37914833e+00
3.00000000e+01,2.11316662e+00,5.59327320e-01,6.36250690e-01,9.17588611e-01
4.00000000e+01,1.81547822e+00,6.63317145e-01,5.51278529e-01,6.00882548e-01
5.00000000e+01,1.26479849e+00,3.63954584e-01,4.56959628e-01,4.43884277e-01
6.00000000e+01,1.07273449e+00,2.97861762e-01,4.05576788e-01,3.69295945e-01
7.00000000e+01,8.87007392e-01,2.37114152e-01,3.55574134e-01,2.94319106e-01
8.00000000e+01,7.30731398e-01,1.78497804e-01,3.19237799e-01,2.32995795e-01
9.00000000e+01,6.30135099e-01,1.43849586e-01,2.91569060e-01,1.94716452e-01
1.00000000e+02,9.09508554e-01,4.29671017e-01,2.90425716e-01,1.89411821e-01
1.10000000e+02,6.10237861e-01,2.12838689e-01,2.48260968e-01,1.49138205e-01
1.20000000e+02,5.63633128e-01,1.83759794e-01,2.38735812e-01,1.41137522e-01
1.30000000e+02,4.98775136e-01,1.79994394e-01,2.11145890e-01,1.07634851e-01
1.40000000e+02,5.51975958e-01,2.51512217e-01,2.01263545e-01,9.92001964e-02
1.50000000e+02,4.11415125e-01,1.50097013e-01,1.79503533e-01,8.18145797e-02
1.60000000e+02,3.92342969e-01,1.43814939e-01,1.70428111e-01,7.80999193e-02
1.70000000e+02,3.68545241e-01,1.34592094e-01,1.61629643e-01,7.23235037e-02
1.80000000e+02,3.47986660e-01,1.36587644e-01,1.52494059e-01,5.89049563e-02
1.90000000e+02,2.79125175e-01,9.56681601e-02,1.35926830e-01,4.75301853e-02
2.00000000e+02,3.08953231e-01,1.32224175e-01,1.30753503e-01,4.59755531e-02
2.10000000e+02,2.75217151e-01,1.13771731e-01,1.24730587e-01,3.67148326e-02
2.20000000e+02,2.56491230e-01,1.04427027e-01,1.16613241e-01,3.54509623e-02
2.30000000e+02,2.39273067e-01,9.96400151e-02,1.09921162e-01,2.97118902e-02
2.40000000e+02,2.64873268e-01,1.30186935e-01,1.03353958e-01,3.13323747e-02
2.50000000e+02,2.50321586e-01,1.17042436e-01,1.01976625e-01,3.13025259e-02
2.60000000e+02,2.06399893e-01,8.21379325e-02,9.72364230e-02,2.70255371e-02
2.70000000e+02,2.08413454e-01,9.49962555e-02,8.90586657e-02,2.43585327e-02
2.80000000e+02,1.86115899e-01,8.17874427e-02,8.37225741e-02,2.06058827e-02
2.90000000e+02,1.73402390e-01,7.59180425e-02,7.97716441e-02,1.77127031e-02
3.00000000e+02,1.73366616e-01,7.67847050e-02,7.76178904e-02,1.89640206e-02
3.10000000e+02,1.89998997e-01,9.52897993e-02,7.49006456e-02,1.98085517e-02
3.20000000e+02,1.86438111e-01,9.56729358e-02,7.22877175e-02,1.84774580e-02
3.30000000e+02,2.05420194e-01,1.15573054e-01,7.06124142e-02,1.92347253e-02
3.40000000e+02,1.60021837e-01,7.70468528e-02,6.66897204e-02,1.62852642e-02
3.50000000e+02,1.36328596e-01,5.83416618e-02,6.33010074e-02,1.46859267e-02
3.60000000e+02,1.43963437e-01,6.60120924e-02,6.26944682e-02,1.52568763e-02
3.70000000e+02,1.83164517e-01,1.04719498e-01,6.20032468e-02,1.64417721e-02
3.80000000e+02,1.58899241e-01,8.42986536e-02,5.93607773e-02,1.52398099e-02
3.90000000e+02,1.46139128e-01,7.41662823e-02,5.80127910e-02,1.39600547e-02
